cat,east,north,altitud
152,442875,765775,2827.00000000
153,443431.25,765762.5,2809.00000000
154,441781.25,765731.25,2847.00000000
155,436087.5,765756.25,2959.00000000
156,436168.75,765668.75,2963.00000000
157,441962.5,765687.5,2855.00000000
158,434968.75,765700,2945.00000000
159,443775,765643.75,2806.00000000
160,442700,765650,2831.00000000
161,436581.25,765581.25,2979.00000000
162,442256.25,765681.25,2869.00000000
163,444975,765637.5,2743.00000000
164,446706.25,765650,2618.00000000
165,435293.75,765650,2962.00000000
166,435012.5,765593.75,2951.00000000
167,443281.25,765550,2828.00000000
168,439175,765575,2789.00000000
169,435175,765556.25,2964.00000000
170,446931.25,765531.25,2629.00000000
171,437393.75,765468.75,2984.00000000
172,437493.75,765493.75,2976.00000000
173,435837.5,765443.75,2972.00000000
174,442625,765493.75,2834.00000000
175,435443.75,765481.25,2958.00000000
176,435468.75,765475,2960.00000000
177,442518.75,765431.25,2848.00000000
178,437181.25,765318.75,2978.00000000
179,439368.75,765425,2840.00000000
180,442606.25,765468.75,2840.00000000
181,446006.25,765418.75,2652.00000000
182,435062.5,765356.25,2987.00000000
183,447418.75,765381.25,2650.00000000
184,435868.75,765381.25,2964.00000000
185,443056.25,765406.25,2849.00000000
186,445831.25,765356.25,2633.00000000
187,435350,765343.75,2972.00000000
188,435900,765325,2965.00000000
189,439412.5,765331.25,2819.00000000
190,434581.25,765318.75,2937.00000000
191,436412.5,765293.75,2974.00000000
192,442450,765287.5,2831.00000000
193,443475,765156.25,2845.00000000
194,434762.5,765250,2949.00000000
195,447556.25,765218.75,2668.00000000
196,440906.25,765212.5,2817.00000000
197,447225,765200,2652.00000000
198,435268.75,765168.75,2997.00000000
199,446568.75,765181.25,2642.00000000
200,438931.25,765162.5,2844.00000000
201,447787.5,765131.25,2687.00000000
202,437081.25,765181.25,2973.00000000
203,441668.75,765131.25,2816.00000000
204,436856.25,765181.25,2977.00000000
205,436200,765131.25,2994.00000000
206,439762.5,765125,2861.00000000
207,440462.5,765093.75,2879.00000000
208,442575,765056.25,2822.00000000
209,438718.75,765106.25,2833.00000000
210,438887.5,765081.25,2835.00000000
211,444268.75,765093.75,2746.00000000
212,440231.25,765081.25,2860.00000000
213,442006.25,765031.25,2826.00000000
214,444231.25,765068.75,2746.00000000
215,439293.75,764993.75,2860.00000000
216,439743.75,765031.25,2867.00000000
217,442075,765037.5,2826.00000000
218,442718.75,765043.75,2815.00000000
219,444012.5,765018.75,2763.00000000
220,444712.5,764981.25,2711.00000000
221,447431.25,765006.25,2648.00000000
222,435468.75,764918.75,2981.00000000
223,436031.25,764906.25,3002.00000000
224,447118.75,764950,2671.00000000
225,435337.5,764993.75,2975.00000000
226,440356.25,764893.75,2880.00000000
227,442831.25,765006.25,2804.00000000
228,439687.5,764950,2870.00000000
229,442350,764943.75,2823.00000000
230,444156.25,764981.25,2753.00000000
231,447406.25,764968.75,2646.00000000
232,444318.75,764912.5,2745.00000000
233,445106.25,764912.5,2703.00000000
234,447418.75,764912.5,2644.00000000
235,439968.75,764918.75,2879.00000000
236,448050,764868.75,2667.00000000
237,441025,764881.25,2845.00000000
238,445531.25,764812.5,2685.00000000
239,446087.5,764887.5,2626.00000000
240,436193.75,764881.25,2997.00000000
241,436656.25,764843.75,3010.00000000
242,438243.75,764818.75,2861.00000000
243,446637.5,764843.75,2674.00000000
244,447218.75,764868.75,2663.00000000
245,436362.5,764862.5,2986.00000000
246,438675,764825,2869.00000000
247,440875,764818.75,2852.00000000
248,441831.25,764843.75,2843.00000000
249,442187.5,764831.25,2829.00000000
250,436462.5,764831.25,2984.00000000
251,439987.5,764818.75,2884.00000000
252,435431.25,764818.75,2979.00000000
253,439200,764718.75,2868.00000000
254,434550,764743.75,2954.00000000
255,438012.5,764693.75,2869.00000000
256,440750,764781.25,2845.00000000
257,441556.25,764743.75,2831.00000000
258,447281.25,764737.5,2657.00000000
259,440037.5,764718.75,2894.00000000
260,441956.25,764706.25,2852.00000000
261,445987.5,764693.75,2646.00000000
262,438543.75,764693.75,2873.00000000
263,439800,764643.75,2914.00000000
264,435556.25,764543.75,2996.00000000
265,439925,764643.75,2901.00000000
266,441343.75,764656.25,2817.00000000
267,445081.25,764656.25,2684.00000000
268,447337.5,764562.5,2656.00000000
269,447618.75,764631.25,2618.00000000
270,441675,764625,2838.00000000
271,437625,764618.75,2867.00000000
272,437737.5,764612.5,2864.00000000
273,441281.25,764631.25,2815.00000000
274,434331.25,764543.75,2944.00000000
275,440606.25,764568.75,2848.00000000
276,441106.25,764543.75,2832.00000000
277,445168.75,764518.75,2707.00000000
278,434712.5,764556.25,2950.00000000
279,436287.5,764518.75,2997.00000000
280,439193.75,764568.75,2859.00000000
281,443125,764406.25,2841.00000000
282,434800,764531.25,2953.00000000
283,438450,764481.25,2899.00000000
284,439631.25,764481.25,2904.00000000
285,442781.25,764531.25,2837.00000000
286,445256.25,764531.25,2692.00000000
287,440750,764481.25,2843.00000000
288,434662.5,764468.75,2952.00000000
289,435881.25,764493.75,3013.00000000
290,442831.25,764493.75,2843.00000000
291,442568.75,764437.5,2823.00000000
292,445350,764443.75,2688.00000000
293,445456.25,764393.75,2693.00000000
294,435331.25,764425,2999.00000000
295,433750,764431.25,2903.00000000
296,441343.75,764406.25,2814.00000000
297,438593.75,764381.25,2910.00000000
298,434050,764393.75,2921.00000000
299,440218.75,764381.25,2846.00000000
300,442881.25,764137.5,2856.00000000
301,433981.25,764343.75,2918.00000000
302,440387.5,764306.25,2841.00000000
303,441556.25,764293.75,2833.00000000
304,442525,764268.75,2838.00000000
305,433775,764237.5,2907.00000000
306,448300,764225,2571.00000000
307,442156.25,764225,2828.00000000
308,434981.25,764193.75,2976.00000000
309,437668.75,764206.25,2902.00000000
310,441643.75,764187.5,2835.00000000
311,440550,764193.75,2835.00000000
312,448637.5,763925,2594.00000000
313,438531.25,764075,2915.00000000
314,434812.5,764106.25,2965.00000000
315,443037.5,764056.25,2847.00000000
316,437775,764056.25,2912.00000000
317,442087.5,764068.75,2839.00000000
318,434718.75,764068.75,2960.00000000
319,441093.75,764062.5,2841.00000000
320,443137.5,763968.75,2841.00000000
321,437325,764031.25,2896.00000000
322,444968.75,764012.5,2613.00000000
323,438025,764006.25,2908.00000000
324,441956.25,764018.75,2847.00000000
325,448100,764093.75,2593.00000000
326,434462.5,763906.25,2956.00000000
327,442237.5,764006.25,2823.00000000
328,438906.25,763781.25,2937.00000000
329,432887.5,763843.75,2938.00000000
330,441081.25,763975,2842.00000000
331,439381.25,763968.75,2937.00000000
332,438387.5,763906.25,2933.00000000
333,439243.75,763912.5,2952.00000000
334,441168.75,763943.75,2848.00000000
335,435675,763900,2990.00000000
336,433812.5,763906.25,2884.00000000
337,436762.5,763887.5,2949.00000000
338,441362.5,763850,2868.00000000
339,435793.75,763862.5,2975.00000000
340,436168.75,763881.25,2958.00000000
341,434356.25,763856.25,2946.00000000
342,441606.25,763843.75,2847.00000000
343,433475,763806.25,2917.00000000
344,435906.25,763812.5,2984.00000000
345,436700,763793.75,2947.00000000
346,439231.25,763762.5,2935.00000000
347,441731.25,763881.25,2851.00000000
348,441918.75,763693.75,2839.00000000
349,432843.75,763656.25,2957.00000000
350,433975,763743.75,2916.00000000
351,436456.25,763725,2965.00000000
352,434356.25,763706.25,2937.00000000
353,435362.5,763662.5,2964.00000000
354,440618.75,763675,2865.00000000
355,442481.25,763706.25,2819.00000000
356,434062.5,763681.25,2923.00000000
357,434543.75,763693.75,2934.00000000
358,438718.75,763693.75,2909.00000000
359,440512.5,763681.25,2854.00000000
360,441237.5,763656.25,2850.00000000
361,432656.25,763631.25,2947.00000000
362,436393.75,763668.75,2968.00000000
363,436131.25,763656.25,2970.00000000
364,436043.75,763600,2964.00000000
365,437268.75,763556.25,2969.00000000
366,442056.25,763606.25,2836.00000000
367,432537.5,763506.25,2935.00000000
368,435725,763525,2969.00000000
369,434850,763493.75,2934.00000000
370,440875,763512.5,2862.00000000
371,441043.75,763512.5,2854.00000000
372,436318.75,763481.25,2970.00000000
373,439743.75,763506.25,2984.00000000
374,441506.25,763475,2829.00000000
375,437662.5,763475,2957.00000000
376,439606.25,763393.75,3004.00000000
377,437537.5,763393.75,2967.00000000
378,442675,763412.5,2845.00000000
379,438562.5,763387.5,2917.00000000
380,443281.25,763418.75,2867.00000000
381,436350,763356.25,2969.00000000
382,438006.25,763293.75,2954.00000000
383,437125,763331.25,2970.00000000
384,435187.5,763356.25,2936.00000000
385,444462.5,763343.75,2751.00000000
386,434381.25,763268.75,2918.00000000
387,436743.75,763243.75,2961.00000000
388,445543.75,763262.5,2676.00000000
389,433668.75,763243.75,2941.00000000
390,433943.75,763281.25,2928.00000000
391,442081.25,763268.75,2833.00000000
392,433968.75,763268.75,2927.00000000
393,439656.25,763268.75,2980.00000000
394,436225,763243.75,2958.00000000
395,437031.25,763237.5,2960.00000000
396,439793.75,763106.25,2987.00000000
397,440481.25,763243.75,2913.00000000
398,434556.25,763212.5,2931.00000000
399,433437.5,763143.75,2934.00000000
400,434012.5,763112.5,2941.00000000
401,443500,763168.75,2875.00000000
402,433306.25,763187.5,2933.00000000
403,434606.25,763193.75,2926.00000000
404,437275,763143.75,2957.00000000
405,434618.75,763131.25,2927.00000000
406,432156.25,763081.25,2897.00000000
407,435656.25,763093.75,2938.00000000
408,437512.5,763056.25,2951.00000000
409,437006.25,763043.75,2967.00000000
410,439306.25,763106.25,2964.00000000
411,443250,763062.5,2854.00000000
412,440006.25,763081.25,2976.00000000
413,436381.25,763056.25,2961.00000000
414,436812.5,763037.5,2964.00000000
415,434181.25,763031.25,2931.00000000
416,439225,763043.75,2967.00000000
417,436318.75,763031.25,2965.00000000
418,436506.25,763031.25,2964.00000000
419,436718.75,763012.5,2968.00000000
420,443925,762987.5,2833.00000000
421,432243.75,763006.25,2884.00000000
422,437612.5,763006.25,2948.00000000
423,434962.5,762987.5,2933.00000000
424,436356.25,762906.25,2970.00000000
425,436643.75,762993.75,2970.00000000
426,440325,762987.5,2961.00000000
427,436550,762843.75,2971.00000000
428,439718.75,762981.25,2988.00000000
429,440193.75,762981.25,2966.00000000
430,435331.25,762956.25,2929.00000000
431,444093.75,762956.25,2821.00000000
432,434275,762912.5,2933.00000000
433,440143.75,762881.25,2978.00000000
434,440331.25,762937.5,2962.00000000
435,440562.5,762887.5,2951.00000000
436,437075,762912.5,2961.00000000
437,434937.5,762868.75,2939.00000000
438,436281.25,762918.75,2967.00000000
439,436943.75,762681.25,2958.00000000
440,439031.25,762968.75,2966.00000000
441,443975,762856.25,2834.00000000
442,445462.5,762818.75,2726.00000000
443,435331.25,762818.75,2936.00000000
444,438406.25,762768.75,2954.00000000
445,434306.25,762793.75,2937.00000000
446,442731.25,762731.25,2885.00000000
447,440700,762768.75,2944.00000000
448,440875,762656.25,2946.00000000
449,440000,762706.25,2961.00000000
450,437962.5,762693.75,2947.00000000
451,442337.5,762756.25,2867.00000000
452,434831.25,762693.75,2944.00000000
453,442243.75,762731.25,2875.00000000
454,431450,762662.5,2874.00000000
455,441525,762631.25,2940.00000000
456,434525,762562.5,2949.00000000
457,442025,762656.25,2904.00000000
458,444100,762675,2810.00000000
459,434093.75,762662.5,2919.00000000
460,441081.25,762656.25,2938.00000000
461,444412.5,762593.75,2811.00000000
462,439212.5,762668.75,2924.00000000
463,445625,762631.25,2727.00000000
464,438350,762612.5,2947.00000000
465,437481.25,762637.5,2952.00000000
466,435100,762631.25,2942.00000000
467,437612.5,762606.25,2947.00000000
468,437862.5,762618.75,2942.00000000
469,441237.5,762618.75,2922.00000000
470,436512.5,762543.75,2981.00000000
471,437775,762556.25,2944.00000000
472,439618.75,762506.25,2945.00000000
473,441900,762518.75,2904.00000000
474,443531.25,762512.5,2833.00000000
475,434875,762506.25,2947.00000000
476,438293.75,762493.75,2937.00000000
477,442625,762431.25,2867.00000000
478,445106.25,762418.75,2753.00000000
479,442325,762425,2889.00000000
480,447793.75,762431.25,2635.00000000
481,445612.5,762387.5,2737.00000000
482,447100,762406.25,2709.00000000
483,437218.75,762275,2982.00000000
484,447225,762418.75,2697.00000000
485,435800,762362.5,2966.00000000
486,442062.5,762393.75,2891.00000000
487,432943.75,762343.75,2895.00000000
488,442218.75,762368.75,2881.00000000
489,438093.75,762318.75,2947.00000000
490,432493.75,762331.25,2871.00000000
491,434562.5,762318.75,2953.00000000
492,434306.25,762293.75,2927.00000000
493,446662.5,762106.25,2713.00000000
494,434675,762281.25,2953.00000000
495,436700,762218.75,2991.00000000
496,441362.5,762281.25,2890.00000000
497,441800,762275,2875.00000000
498,441868.75,762293.75,2869.00000000
499,443925,762200,2809.00000000
500,448537.5,762193.75,2644.00000000
501,436450,762231.25,2988.00000000
502,433537.5,762318.75,2939.00000000
503,435450,762268.75,2984.00000000
504,435725,762218.75,2979.00000000
505,437693.75,762193.75,2949.00000000
506,445506.25,762156.25,2758.00000000
507,447575,762231.25,2647.00000000
508,449187.5,762093.75,2591.00000000
509,432875,762100,2911.00000000
510,447806.25,762137.5,2643.00000000
511,443387.5,762181.25,2804.00000000
512,434668.75,762150,2955.00000000
513,436006.25,762056.25,2975.00000000
514,436400,762150,2981.00000000
515,436925,762093.75,2986.00000000
516,443131.25,762043.75,2834.00000000
517,439568.75,762156.25,2897.00000000
518,433837.5,762118.75,2927.00000000
519,443606.25,762131.25,2790.00000000
520,447856.25,762143.75,2639.00000000
