plan_id,point_id,height,residual,residual_std,east_extent,north_extent,inclinacion,direccion
1,31,2942.0,4.386341670163347,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,75,2925.0,-4.949598245343623,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,77,2926.0,-3.3441034607121765,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,262,2914.0,2.7227913053784505,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,283,2904.0,-5.1529806259868565,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,294,2903.0,3.3732117557838137,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,296,2910.0,3.5753135652275887,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,308,2902.0,-1.0057560445229683,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,320,2896.0,-4.471522870607259,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,420,2884.0,3.04130466773222,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,453,2874.0,-1.8003324649662318,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,478,2889.0,-0.6234835883269625,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,485,2891.0,2.1351687226515423,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,489,2871.0,-2.582398999124962,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,495,2890.0,3.493412409049597,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,610,2868.0,-4.599697083650426,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,652,2866.0,-2.8421068062461927,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,656,2873.0,4.330553575092381,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,678,2861.0,-5.250793729407633,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,685,2862.0,-3.661947138830328,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,694,2869.0,3.401790976448865,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,732,2860.0,-2.6858384704128184,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,737,2857.0,-4.118114821053496,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,747,2863.0,2.516395691861362,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,765,2863.0,0.5819559701803882,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,787,2855.0,5.351089254682847,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,791,2853.0,5.0272580616992855,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,794,2842.0,-5.989864577598382,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,796,2848.0,0.05674823522622319,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,801,2851.0,4.548368898235822,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,802,2850.0,3.835658204344327,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,809,2849.0,3.621423136314661,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,825,2838.0,4.551523126822758,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,828,2847.0,3.801776891065856,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,832,2842.0,-0.7154441234806654,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,842,2840.0,-2.7515898462052064,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,855,2839.0,-1.9274957263123724,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,888,2842.0,2.5432014091356905,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,891,2839.0,1.2246024296209725,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,904,2836.0,-4.743891146476926,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,908,2842.0,2.3643599238430397,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,958,2849.0,1.3278904241060445,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,970,2836.0,0.8596763215073224,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,973,2846.0,-1.3049110688543806,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,995,2843.0,-2.9788128032623717,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1046,2820.0,2.110329807396738,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1048,2842.0,3.0031670755315645,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1051,2837.0,-5.922800260229451,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1121,2829.0,3.599925662921123,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1126,2824.0,-1.6716670027772125,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1135,2828.0,2.697909056793833,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1156,2821.0,-0.5121584944945425,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1176,2833.0,1.798506942007407,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1215,2822.0,2.901264650695339,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1217,2812.0,-5.2698834611846905,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1249,2826.0,-0.0954496622298393,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
1,1266,2827.0,-1.2325143840180317,3.3944020410095623,31618.75,41937.5,0.6641390607388918,E
