cat,east,north,altitud
188,435900.0,765325.0,2965.0
189,439412.5,765331.25,2819.0
190,434581.25,765318.75,2937.0
191,436412.5,765293.75,2974.0
192,442450.0,765287.5,2831.0
193,443475.0,765156.25,2845.0
194,434762.5,765250.0,2949.0
195,447556.25,765218.75,2668.0
196,440906.25,765212.5,2817.0
197,447225.0,765200.0,2652.0
198,435268.75,765168.75,2997.0
199,446568.75,765181.25,2642.0
200,438931.25,765162.5,2844.0
201,447787.5,765131.25,2687.0
202,437081.25,765181.25,2973.0
203,441668.75,765131.25,2816.0
204,436856.25,765181.25,2977.0
205,436200.0,765131.25,2994.0
206,439762.5,765125.0,2861.0
207,440462.5,765093.75,2879.0
208,442575.0,765056.25,2822.0
209,438718.75,765106.25,2833.0
210,438887.5,765081.25,2835.0
211,444268.75,765093.75,2746.0
212,440231.25,765081.25,2860.0
213,442006.25,765031.25,2826.0
214,444231.25,765068.75,2746.0
215,439293.75,764993.75,2860.0
216,439743.75,765031.25,2867.0
217,442075.0,765037.5,2826.0
218,442718.75,765043.75,2815.0
219,444012.5,765018.75,2763.0
220,444712.5,764981.25,2711.0
221,447431.25,765006.25,2648.0
222,435468.75,764918.75,2981.0
223,436031.25,764906.25,3002.0
224,447118.75,764950.0,2671.0
225,435337.5,764993.75,2975.0
226,440356.25,764893.75,2880.0
227,442831.25,765006.25,2804.0
228,439687.5,764950.0,2870.0
229,442350.0,764943.75,2823.0
230,444156.25,764981.25,2753.0
231,447406.25,764968.75,2646.0
232,444318.75,764912.5,2745.0
233,445106.25,764912.5,2703.0
234,447418.75,764912.5,2644.0
235,439968.75,764918.75,2879.0
236,448050.0,764868.75,2667.0
237,441025.0,764881.25,2845.0
238,445531.25,764812.5,2685.0
239,446087.5,764887.5,2626.0
240,436193.75,764881.25,2997.0
241,436656.25,764843.75,3010.0
242,438243.75,764818.75,2861.0
243,446637.5,764843.75,2674.0
244,447218.75,764868.75,2663.0
245,436362.5,764862.5,2986.0
246,438675.0,764825.0,2869.0
247,440875.0,764818.75,2852.0
248,441831.25,764843.75,2843.0
249,442187.5,764831.25,2829.0
250,436462.5,764831.25,2984.0
251,439987.5,764818.75,2884.0
252,435431.25,764818.75,2979.0
253,439200.0,764718.75,2868.0
254,434550.0,764743.75,2954.0
255,438012.5,764693.75,2869.0
256,440750.0,764781.25,2845.0
257,441556.25,764743.75,2831.0
258,447281.25,764737.5,2657.0
259,440037.5,764718.75,2894.0
260,441956.25,764706.25,2852.0
261,445987.5,764693.75,2646.0
262,438543.75,764693.75,2873.0
263,439800.0,764643.75,2914.0
264,435556.25,764543.75,2996.0
265,439925.0,764643.75,2901.0
266,441343.75,764656.25,2817.0
267,445081.25,764656.25,2684.0
268,447337.5,764562.5,2656.0
269,447618.75,764631.25,2618.0
270,441675.0,764625.0,2838.0
271,437625.0,764618.75,2867.0
272,437737.5,764612.5,2864.0
273,441281.25,764631.25,2815.0
274,434331.25,764543.75,2944.0
275,440606.25,764568.75,2848.0
276,441106.25,764543.75,2832.0
277,445168.75,764518.75,2707.0
278,434712.5,764556.25,2950.0
279,436287.5,764518.75,2997.0
280,439193.75,764568.75,2859.0
281,443125.0,764406.25,2841.0
282,434800.0,764531.25,2953.0
283,438450.0,764481.25,2899.0
284,439631.25,764481.25,2904.0
285,442781.25,764531.25,2837.0
286,445256.25,764531.25,2692.0
287,440750.0,764481.25,2843.0
288,434662.5,764468.75,2952.0
289,435881.25,764493.75,3013.0
290,442831.25,764493.75,2843.0
291,442568.75,764437.5,2823.0
292,445350.0,764443.75,2688.0
293,445456.25,764393.75,2693.0
294,435331.25,764425.0,2999.0
295,433750.0,764431.25,2903.0
296,441343.75,764406.25,2814.0
297,438593.75,764381.25,2910.0
298,434050.0,764393.75,2921.0
299,440218.75,764381.25,2846.0
300,442881.25,764137.5,2856.0
301,433981.25,764343.75,2918.0
302,440387.5,764306.25,2841.0
303,441556.25,764293.75,2833.0
304,442525.0,764268.75,2838.0
305,433775.0,764237.5,2907.0
306,448300.0,764225.0,2571.0
307,442156.25,764225.0,2828.0
308,434981.25,764193.75,2976.0
309,437668.75,764206.25,2902.0
310,441643.75,764187.5,2835.0
311,440550.0,764193.75,2835.0
312,448637.5,763925.0,2594.0
313,438531.25,764075.0,2915.0
314,434812.5,764106.25,2965.0
315,443037.5,764056.25,2847.0
316,437775.0,764056.25,2912.0
317,442087.5,764068.75,2839.0
318,434718.75,764068.75,2960.0
319,441093.75,764062.5,2841.0
320,443137.5,763968.75,2841.0
321,437325.0,764031.25,2896.0
322,444968.75,764012.5,2613.0
323,438025.0,764006.25,2908.0
324,441956.25,764018.75,2847.0
325,448100.0,764093.75,2593.0
326,434462.5,763906.25,2956.0
327,442237.5,764006.25,2823.0
328,438906.25,763781.25,2937.0
329,432887.5,763843.75,2938.0
330,441081.25,763975.0,2842.0
331,439381.25,763968.75,2937.0
332,438387.5,763906.25,2933.0
333,439243.75,763912.5,2952.0
334,441168.75,763943.75,2848.0
335,435675.0,763900.0,2990.0
336,433812.5,763906.25,2884.0
337,436762.5,763887.5,2949.0
338,441362.5,763850.0,2868.0
339,435793.75,763862.5,2975.0
340,436168.75,763881.25,2958.0
341,434356.25,763856.25,2946.0
342,441606.25,763843.75,2847.0
343,433475.0,763806.25,2917.0
344,435906.25,763812.5,2984.0
345,436700.0,763793.75,2947.0
346,439231.25,763762.5,2935.0
347,441731.25,763881.25,2851.0
348,441918.75,763693.75,2839.0
349,432843.75,763656.25,2957.0
350,433975.0,763743.75,2916.0
351,436456.25,763725.0,2965.0
352,434356.25,763706.25,2937.0
353,435362.5,763662.5,2964.0
354,440618.75,763675.0,2865.0
355,442481.25,763706.25,2819.0
356,434062.5,763681.25,2923.0
357,434543.75,763693.75,2934.0
358,438718.75,763693.75,2909.0
359,440512.5,763681.25,2854.0
360,441237.5,763656.25,2850.0
361,432656.25,763631.25,2947.0
362,436393.75,763668.75,2968.0
363,436131.25,763656.25,2970.0
364,436043.75,763600.0,2964.0
365,437268.75,763556.25,2969.0
366,442056.25,763606.25,2836.0
367,432537.5,763506.25,2935.0
368,435725.0,763525.0,2969.0
369,434850.0,763493.75,2934.0
370,440875.0,763512.5,2862.0
371,441043.75,763512.5,2854.0
372,436318.75,763481.25,2970.0
373,439743.75,763506.25,2984.0
374,441506.25,763475.0,2829.0
375,437662.5,763475.0,2957.0
376,439606.25,763393.75,3004.0
377,437537.5,763393.75,2967.0
378,442675.0,763412.5,2845.0
379,438562.5,763387.5,2917.0
380,443281.25,763418.75,2867.0
381,436350.0,763356.25,2969.0
382,438006.25,763293.75,2954.0
383,437125.0,763331.25,2970.0
384,435187.5,763356.25,2936.0
385,444462.5,763343.75,2751.0
386,434381.25,763268.75,2918.0
387,436743.75,763243.75,2961.0
388,445543.75,763262.5,2676.0
389,433668.75,763243.75,2941.0
390,433943.75,763281.25,2928.0
391,442081.25,763268.75,2833.0
392,433968.75,763268.75,2927.0
393,439656.25,763268.75,2980.0
394,436225.0,763243.75,2958.0
395,437031.25,763237.5,2960.0
396,439793.75,763106.25,2987.0
397,440481.25,763243.75,2913.0
398,434556.25,763212.5,2931.0
399,433437.5,763143.75,2934.0
400,434012.5,763112.5,2941.0
401,443500.0,763168.75,2875.0
402,433306.25,763187.5,2933.0
403,434606.25,763193.75,2926.0
404,437275.0,763143.75,2957.0
405,434618.75,763131.25,2927.0
406,432156.25,763081.25,2897.0
407,435656.25,763093.75,2938.0
408,437512.5,763056.25,2951.0
409,437006.25,763043.75,2967.0
